"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"frivilligorsta.no","frivilligorsta.no","http://frivilligorsta.no","","Ørsta Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"frivilligsentralen-eidsvoll.no","frivilligsentralen-eidsvoll.no","http://frivilligsentralen-eidsvoll.no","","Eidsvoll Kommune","Akershus","No","dotgov","No","No","No","","","","","","No"
"frivilligvolda.no","frivilligvolda.no","http://www.frivilligvolda.no","","Volda Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"froan.no","froan.no","http://froan.no","","Frøya Kommune","Sør-Trøndelag","No","dotgov","No","No","No","No","Yes","Yes","No","No","No"
"froavl.no","froavl.no","http://froavl.no","","Nibio - Norsk Institutt For Bioøkonomi","","No","dotgov","No","No","No","","","","","","No"
"frogn.folkebibl.no","frogn.folkebibl.no","https://frogn.folkebibl.no","","Frogn Kommune","Akershus","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frogn.kommune.no","frogn.kommune.no","https://frogn.kommune.no","","","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frogn.vgs.no","frogn.vgs.no","http://www.frogn.vgs.no","","Akershus Fylkeskommune","Oslo","Yes","dotgov","No","No","No","","","","","","No"
"frognerkirke.no","frognerkirke.no","http://frognerkirke.no","","Frogner Sokn","Oslo","No","dotgov","No","No","No","","","","","","No"
"frognpolitiker.no","frognpolitiker.no","http://www.frognpolitiker.no","","Frogn Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frognskolen.no","frognskolen.no","http://frognskolen.no","","Frogn Kommune","Akershus","Yes","dotgov","No","No","No","","","","","","No"
"frohvelv.no","frohvelv.no","http://frohvelv.no","","Landbruks- og Matdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"froland.kommune.no","froland.kommune.no","https://www.froland.kommune.no","","","","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"frolandia.no","frolandia.no","http://frolandia.no","","Froland Kommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"frolandlegekontor.no","frolandlegekontor.no","http://frolandlegekontor.no","","Froland Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"fron-kulturskole.no","fron-kulturskole.no","http://fron-kulturskole.no","","Nord-Fron Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"fronbadeland.no","fronbadeland.no","http://fronbadeland.no","","Sør-Fron Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
